,track_name,artist,duration_ms,album,release_date,popularity,associated_kpop_group,spotify_track_id,artist_id,artist_followers,artist_popularity,artist_genres,user_playlist_count,which_user_playlists,company,big4,gender,debut,days_since_release,age_days,collab,playlist_exposure
0,My Universe,Coldplay,226198,Music Of The Spheres,2021-10-15,79,BTS,46HNZY1i7O6jwTA7Slo2PI,3Nrfpe0tUJi4K4DXYWgMUX,80103753,90,k-pop,0,0,Big Hit Music,1,M,2013-06-13,1387,4433,1,0
1,Dynamite,BTS,199053,BE,2020-11-20,81,BTS,5QDLhrAOJJdNAmCTJ8xMyW,3Nrfpe0tUJi4K4DXYWgMUX,80103753,90,k-pop,0,0,Big Hit Music,1,M,2013-06-13,1716,4433,0,0
2,FAKE LOVE,BTS,242333,Love Yourself 轉 'Tear',2018-05-18,80,BTS,6m1TWFMeon7ai9XLOzdbiR,3Nrfpe0tUJi4K4DXYWgMUX,80103753,90,k-pop,0,0,Big Hit Music,1,M,2013-06-13,2633,4433,0,0
3,Permission to Dance - Live,BTS,279286,PERMISSION TO DANCE ON STAGE - LIVE,2025-07-18,82,BTS,4UAnQaQTSMjKjHkqjKwEYx,3Nrfpe0tUJi4K4DXYWgMUX,80103753,90,k-pop,0,0,Big Hit Music,1,M,2013-06-13,15,4433,0,0
4,Boy With Luv (feat. Halsey),BTS,229773,MAP OF THE SOUL : PERSONA,2019-04-12,79,BTS,4a9tbd947vo9K8Vti9JwcI,3Nrfpe0tUJi4K4DXYWgMUX,80103753,90,k-pop,1,5YZ5U9DAUd71CIwj55A49D,Big Hit Music,1,M,2013-06-13,2304,4433,0,1
5,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,154486,CHARLIE,2022-10-06,75,BTS,0mBP9X2gPCuapvpZ7TGDk3,6HaGTQPmzraVmaVxvz6EUc,18077404,84,k-pop,0,0,Big Hit Music,1,M,2013-06-13,1031,4433,1,0
6,Butter,BTS,164952,Proof,2022-06-10,77,BTS,6jjYDGxVJsWS0a5wlVF5vS,3Nrfpe0tUJi4K4DXYWgMUX,80103753,90,k-pop,0,0,Big Hit Music,1,M,2013-06-13,1149,4433,0,0
7,Run BTS,BTS,204939,Proof,2022-06-10,78,BTS,69xohKu8C1fsflYAiSNbwM,3Nrfpe0tUJi4K4DXYWgMUX,80103753,90,k-pop,0,0,Big Hit Music,1,M,2013-06-13,1149,4433,0,0
8,Life Goes On,BTS,207481,BE,2020-11-20,77,BTS,5FVbvttjEvQ8r2BgUcJgNg,3Nrfpe0tUJi4K4DXYWgMUX,80103753,90,k-pop,0,0,Big Hit Music,1,M,2013-06-13,1716,4433,0,0
9,DNA,BTS,223122,Love Yourself 承 'Her',2017-09-18,75,BTS,3uRLwBjI2TahxslcMTvpFs,3Nrfpe0tUJi4K4DXYWgMUX,80103753,90,k-pop,0,0,Big Hit Music,1,M,2013-06-13,2875,4433,0,0
10,JUMP,BLACKPINK,164718,JUMP,2025-07-11,96,BLACKPINK,5H1sKFMzDeMtXwND3V6hRY,41MozSoPIsD1dJM0CLPjZF,54778545,87,k-pop,1,2EoheVFjqIxgJMb8VnDRtZ,YG Entertainment,1,F,2016-08-08,22,3281,0,1
11,Pink Venom,BLACKPINK,186964,BORN PINK,2022-09-15,78,BLACKPINK,5zwwW9Oq7ubSxoCGyW1nbY,41MozSoPIsD1dJM0CLPjZF,54778545,87,k-pop,2,"6fQ3H7MipHCbzVazbPyHhQ,5EPJPyctDDc1omacvILCsu",YG Entertainment,1,F,2016-08-08,1052,3281,0,1
12,Shut Down,BLACKPINK,175889,BORN PINK,2022-09-15,76,BLACKPINK,7gRFDGEzF9UkBV233yv2dc,41MozSoPIsD1dJM0CLPjZF,54778545,87,k-pop,1,6fQ3H7MipHCbzVazbPyHhQ,YG Entertainment,1,F,2016-08-08,1052,3281,0,1
